course,updated_date,course_long_title,college,actual_enrollment,maximum_enrollment,remaining_seats,waitlist,percent_full
AAEC3910,2025-01-20,Internships,College of Agricultural and Environmental Sciences,0,50,50,0,0.0
AAEC4970R,2025-01-20,Faculty-Mentored Undergraduate Research II,College of Agricultural and Environmental Sciences,0,10,10,0,0.0
ACCT2101,2025-01-20,Principles of Accounting I,Terry College of Business,24,50,26,0,0.48
ADPR5010,2025-01-20,Advertising Internship,Grady College of Journalism and Mass Communication,0,40,40,0,0.0
ADPR5011,2025-01-20,Public Relations Internship,Grady College of Journalism and Mass Communication,0,40,40,0,0.0
ADPR5990,2025-01-20,Seminar in Advertising and Public Relations,Grady College of Journalism and Mass Communication,0,70,70,0,0.0
ADSC3910,2025-01-20,Internship in ADS I,College of Agricultural and Environmental Sciences,2,20,18,0,0.1
ADSC3920,2025-01-20,Animal Science Internship II,College of Agricultural and Environmental Sciences,2,20,18,0,0.1
ADSC4960R,2025-01-20,Faculty-Mentored Undergraduate Research I,College of Agricultural and Environmental Sciences,0,40,40,0,0.0
AFAM4170,2025-01-20,Introduction to Black Psychology,Franklin College of Arts and Sciences,2,10,8,0,0.2
AFAM4880,2025-01-20,Topics in African American Literature,Franklin College of Arts and Sciences,0,20,20,0,0.0
ALDR3900S,2025-01-20,Leadership and Service,College of Agricultural and Environmental Sciences,12,50,38,0,0.24
ARGD3010,2025-01-20,Foundations of Graphic Design,Franklin College of Arts and Sciences,8,36,28,0,0.2222222222222222
ARGD3080,2025-01-20,Internship in Graphic Design,Franklin College of Arts and Sciences,0,32,32,0,0.0
ARGD4060,2025-01-20,Design Center,Franklin College of Arts and Sciences,16,36,20,0,0.4444444444444444
ARID4010,2025-01-20,Interior Design Internship,Franklin College of Arts and Sciences,0,30,30,0,0.0
ARST2100,2025-01-20,Introduction to Painting and Visuality,Franklin College of Arts and Sciences,22,40,18,0,0.55
ARST2500,2025-01-20,Introduction to Ceramics,Franklin College of Arts and Sciences,18,32,14,0,0.5625
ARST3140,2025-01-20,Painting Studio Concepts,Franklin College of Arts and Sciences,8,40,32,0,0.2
ARST3500,2025-01-20,Intermediate Ceramics,Franklin College of Arts and Sciences,12,32,20,0,0.375
ARST4315,2025-01-20,Introduction to Book Arts,Franklin College of Arts and Sciences,20,36,16,0,0.5555555555555556
ARST4330,2025-01-20,Printmaking: Special Topics I,Franklin College of Arts and Sciences,0,40,40,0,0.0
ARST4370,2025-01-20,Advanced Book Studio,Franklin College of Arts and Sciences,4,36,32,0,0.1111111111111111
ARST4915,2025-01-20,Thematic Inquiry in Contemporary Art,Franklin College of Arts and Sciences,22,40,18,0,0.55
ARST4930,2025-01-20,Internship in Art,Franklin College of Arts and Sciences,0,20,20,0,0.0
BCMB3100,2025-01-20,Introductory Biochemistry and Molecular Biology,Franklin College of Arts and Sciences,78,300,222,0,0.26
BIOE2100W,2025-01-20,The Bioengineering Professional Persona,College of Engineering,0,68,68,0,0.0
BIOL1107,2025-01-20,Principles of Biology I,Franklin College of Arts and Sciences,20,100,80,0,0.2
BIOL1107L,2025-01-20,Principles of Biology I Laboratory,Franklin College of Arts and Sciences,22,60,38,0,0.36666666666666664
